Week;Nehodovost;Dst;
30.tyzden.2015;284;-12.035714
31.tyzden.2015;235;-5.952381
32.tyzden.2015;266;1.345238
33.tyzden.2015;269;-12.940476
34.tyzden.2015;295;-15.809524
35.tyzden.2015;272;-30.333333
36.tyzden.2015;276;-8.470238
37.tyzden.2015;269;-36.279762
38.tyzden.2015;264;-22.214286
39.tyzden.2015;285;-9.172619
40.tyzden.2015;285;-11.517857
41.tyzden.2015;261;-40.404762
42.tyzden.2015;296;-20.678571
43.tyzden.2015;274;-2.232143
44.tyzden.2015;287;-1.886905
45.tyzden.2015;279;-29.922619
46.tyzden.2015;285;-28.333333
47.tyzden.2015;260;-14.220238
48.tyzden.2015;283;-0.470238
49.tyzden.2015;284;-9.261905
50.tyzden.2015;292;-5.220238
51.tyzden.2015;302;-15.470238
52.tyzden.2015;349;-15.143939
1.tyzden.2016;241;-12.745833
2.tyzden.2016;251;-7.553571
3.tyzden.2016;235;-19.059524
4.tyzden.2016;228;-0.577381
5.tyzden.2016;219;-8.726190
6.tyzden.2016;241;-10.154762
7.tyzden.2016;239;-23.232143
8.tyzden.2016;191;-0.035714
9.tyzden.2016;208;2.571429
10.tyzden.2016;210;-21.964286
11.tyzden.2016;235;-24.000000
12.tyzden.2016;207;-2.523810
13.tyzden.2016;175;-8.827381
14.tyzden.2016;239;-10.226191
15.tyzden.2016;257;-18.363095
16.tyzden.2016;246;-0.339286
17.tyzden.2016;236;1.315476
18.tyzden.2016;245;-19.148810
19.tyzden.2016;269;-19.660714
20.tyzden.2016;218;-2.720238
21.tyzden.2016;277;2.970238
22.tyzden.2016;260;-2.803571
23.tyzden.2016;289;-10.375000
24.tyzden.2016;294;-3.726190
25.tyzden.2016;302;-3.309524
26.tyzden.2016;293;0.458333
27.tyzden.2016;256;-0.839286
28.tyzden.2016;277;-7.452381
29.tyzden.2016;236;-2.196429
30.tyzden.2016;255;-5.815476
31.tyzden.2016;251;-10.815476
32.tyzden.2016;277;-11.761905
33.tyzden.2016;274;-1.702381
34.tyzden.2016;281;-11.708333
35.tyzden.2016;231;-20.773809
36.tyzden.2016;318;-17.511905
37.tyzden.2016;299;-2.523810
38.tyzden.2016;277;-3.684524
39.tyzden.2016;246;-29.357143
40.tyzden.2016;253;-16.541667
41.tyzden.2016;252;-19.529762
42.tyzden.2016;293;-4.428571
43.tyzden.2016;260;-35.994048
44.tyzden.2016;233;-18.910714
45.tyzden.2016;275;-11.017857
46.tyzden.2016;281;-3.130952
47.tyzden.2016;280;-15.119048
48.tyzden.2016;279;-2.505952
49.tyzden.2016;300;-9.535714
50.tyzden.2016;284;-3.607143
51.tyzden.2016;275;-18.517857
52.tyzden.2016;194;-14.041667
